Place,Elderly_Score,Elderly_Notes,Disabled_Score,Disabled_Notes,Infant_Score,Infant_Notes,Suggestion_rank,Parking_Issue,Parking_Notes,Keywords,
연화도 출렁다리,4,"짧고 평평한 다리 구간이어서 노인 분도 크게 무리 없이 건널 수 있으나, 흔들림이 불편할 수 있어 동반자가 있으면 좋습니다.",2,휠체어 진입 경사가 없고 다리 흔들림도 있어 이동이 매우 어렵습니다.,4,"다리가 짧고 안전 가드가 있어 아이들도 즐겁게 건널 수 있으나, 흔들림에 주의가 필요합니다.",1. 연인 2. 가족 3. 친구 4. 혼자,No,"리뷰에 주차 언급은 없으나, 인근 공영주차장에서 도보 3분 거리로 접근 가능합니다.",출렁다리;바다전망;트레킹;흔들림;경치,
윤이상 공원,4,평탄한 산책로와 곳곳의 벤치가 있어 어르신들도 무리 없이 관람 및 산책이 가능합니다.,3,"일부 경사로가 있으나 대체로 포장로가 잘 되어 있어 휠체어 이용도 가능하나, 안내 표지판이 부족합니다.",3,"공원 내 넓은 공간에서 아이들이 안전하게 뛰어놀 수 있으나, 기념관 내부는 유모차 진입이 다소 불편할 수 있습니다.",1. 가족 2. 혼자 3. 연인 4. 친구,No,"자체 주차장이 있어 이용 가능하나, 주말·공휴일에는 만차 우려가 있으므로 대중교통 이용을 권장합니다.",공원;기념관;음악가;역사;산책로,
음악분수휴게광장,4,평탄한 광장 형태로 어르신도 편안히 산책과 휴식을 즐길 수 있습니다.,4,"휠체어 진입이 가능한 평지 구조로 접근성은 양호하지만, 관리 상태에 따라 안전 주의가 필요합니다.",3,작은 분수대 주변에서 아이들이 즐길 수 있으나 규모가 작아 기대치가 낮습니다.,1. 가족 2. 연인 3. 친구 4. 혼자,No,"별도 주차장은 없으며, 인근 공영주차장 이용 후 도보 이동이 필요합니다.",분수;야경;바다전망;휴게;야외,
이순신공원,4,평탄한 산책로와 벤치가 많아 어르신도 편안하게 산책하기 좋습니다.,3,"대체로 포장로가 잘 정비되어 휠체어 진입이 가능하지만, 일부 구간에 표지판과 경사 완화가 필요합니다.",4,넓은 공간과 평탄 산책로로 유모차 이용 및 아이들이 안전하게 뛰어놀 수 있습니다.,1. 가족 2. 혼자 3. 연인 4. 친구,Yes,"공영주차장은 있으나 항만길 일방통행으로 접근로가 복잡하고, 주차비가 발생합니다.",산책;역사;전망;공원;조용함,
장사도 해상공원,3,"바다 위 산책로가 평탄하나, 해안 구조물의 흔들림과 바람이 불어 체감이 있을 수 있어 주의가 필요합니다.",2,"접근로가 평탄하지만, 해상 구조물 진입로에 단차가 있어 휠체어 이용자는 동반자의 도움이 필요합니다.",4,"넓은 갑문과 안전 난간 덕분에 아이들도 안전하게 산책할 수 있으나, 바닷바람에 대비해야 합니다.",1. 가족 2. 연인 3. 친구 4. 혼자,No,"섬 내 별도 주차장은 없으며, 선착장 인근 공영주차장 이용 후 배편 이동이 필요합니다.",해상공원;바다산책;풍경;바람;안전난간,
전혁림 미술관,4,평탄한 전시 공간과 안내 경로가 잘 되어 있어 어르신도 편안히 관람할 수 있습니다.,4,"휠체어 경사로와 엘리베이터가 있어 접근성 양호하나, 휴식 공간 확대가 필요합니다.",3,"작품이 고급 예술작이지만, 동시 관람객 수가 적어 아이들과 함께 안전히 관람 가능합니다.",1. 가족 2. 혼자 3. 연인 4. 친구,No,"인근 공영주차장 이용 후 도보 이동이 필요하며, 주차 공간은 비교적 여유롭습니다.",미술관;전혁림;현대미술;타일외관;문화산책,
통영RCE세자트라숲,3,짧은 숲길이 평탄하며 휴식 공간이 있어 어르신도 큰 무리 없이 산책할 수 있습니다.,3,"포장된 산책로가 휠체어 접근을 허용하나, 좁은 구간에서는 주의가 필요합니다.",4,자연 체험 학습장으로 아이들이 흥미를 느끼며 안전 펜스가 있어 보호자 관찰 하에 관람 가능합니다.,1. 가족 2. 친구 3. 연인 4. 혼자,No,"주차장은 있으나 규모가 작아 주말에는 만차가 될 수 있어, 이른 시간 방문을 권장합니다.",숲길;자연학습;체험;휴식;생태,
통영대교,4,다리가 평탄하고 난간이 잘 설치되어 있어 어르신도 안전하게 산책할 수 있습니다.,4,휠체어 진입로와 평탄 데크가 잘 갖춰져 있어 접근성이 우수합니다.,4,안전 펜스와 넓은 보행로 덕분에 유모차 이용 및 아이들 산책에도 적합합니다.,1. 연인 2. 가족 3. 친구 4. 혼자,No,"인근 공영주차장을 이용해야 하며, 주말에는 혼잡할 수 있으니 이른 시간 방문을 권장합니다.",대교;전망;산책;야경;바다전망,
통영수산과학관,4,실내 전시 공간이 평탄하고 좌석이 곳곳에 배치되어 있어 노인분들도 편안히 관람할 수 있습니다.,4,휠체어 경사로 및 엘리베이터가 잘 갖춰져 있어 접근성이 매우 우수합니다.,4,"생동감 있는 수족관 전시가 아이들의 관심을 끌며, 안전 펜스가 있어 보호자 관찰 하에 관람 가능합니다.",1. 가족 2. 친구 3. 연인 4. 혼자,No,"전용 주차장이 있어 편리하나, 주말에는 혼잡할 수 있으니 이른 시간 방문을 권장합니다.",수산과학관;수족관;전시;교육;가족체험,
통영시립박물관,4,실내 전시장이 평탄하고 벤치가 곳곳에 있어 어르신들도 편안히 관람할 수 있습니다.,4,"휠체어 경사로와 엘리베이터, 넓은 통로가 있어 접근성이 매우 좋습니다.",3,"교육적인 전시가 흥미를 유발하나, 전시물 보호를 위해 유아 동반 시 주의가 필요합니다.",1. 가족 2. 혼자 3. 연인 4. 친구,No,"박물관 전용 주차장이 있으며, 주말에도 비교적 여유가 있지만 대중교통 이용도 가능합니다.",시립박물관;전시;역사;문화;교육,
통영옻칠박물관,4,실내 전시관 내 평탄한 동선과 쉼터가 있어 어르신도 편안히 관람할 수 있습니다.,3,"전시관 입구에 휠체어 경사로가 있으나, 내부 일부 전시 구역은 통로가 좁아 개선이 필요합니다.",3,"정교한 작품 전시로 유아의 흥미 유발이 가능하나, 작품 보호를 위해 보호자 동반 관람이 필요합니다.",1. 가족 2. 혼자 3. 연인 4. 친구,No,"인근 공영주차장 이용 후 도보 이동이 필요하며, 전시관 전용 주차장은 없습니다.",옻칠;자개;전통공예;미술관;문화체험,
통영전통공예관,4,실내가 평탄하고 전시 공간이 넓어 어르신도 편하게 관람할 수 있습니다.,4,휠체어 경사로와 충분한 통로 폭을 갖춰 접근성이 우수합니다.,3,"전통 공예 체험이 아이들의 호기심을 자극하나, 도구 사용 시 안전 주의가 필요합니다.",1. 가족 2. 친구 3. 혼자 4. 연인,No,"인근 공영주차장 이용 후 도보 이동이 필요하며, 전용 주차장은 없습니다.",전통공예;공예관;체험;전시;문화체험,
한려해상국립공원,3,"해안 산책로는 대체로 평탄하나, 일부 자갈길이 있어 보조기구 사용자에게는 주의가 필요합니다.",2,"휠체어 접근이 가능한 포장로가 있으나, 일부 구간은 경사 및 돌길로 이동이 어려울 수 있습니다.",4,"넓은 자연 공간과 전망대가 아이들에게 흥미로운 학습 기회를 제공하지만, 안전 난간이 필요합니다.",1. 가족 2. 연인 3. 친구 4. 혼자,Yes,"주차 공간이 제한적이며 성수기에는 만차가 자주 발생하므로, 이른 시간 또는 대중교통 이용을 권장합니다.",국립공원;해안산책로;전망대;자연경관;트레킹,
한산대첩 광장,4,넓고 평탄한 광장으로 노인분들도 편안히 산책하고 휴식할 수 있습니다.,4,휠체어 경사로와 충분한 공간이 마련되어 있어 접근성과 이동이 매우 용이합니다.,4,광장 내 분수 및 조형물이 있어 아이들이 즐겁게 뛰어놀 수 있으며 안전장치도 잘 갖춰져 있습니다.,1. 가족 2. 친구 3. 연인 4. 혼자,No,"인근 공영주차장을 이용해야 하며, 주말에는 혼잡할 수 있으니 이른 시간 방문을 권장합니다.",광장;분수;산책;역사문화;휴식,
해병대 통영상륙작전 기념관,4,"실내 전시 공간이 평탄하며, 의자와 휴식 공간이 마련되어 있어 어르신도 편안히 관람 가능합니다.",4,휠체어 경사로와 넓은 통로가 갖춰져 있어 접근성과 이동이 매우 용이합니다.,3,"전쟁사 관련 전시가 다소 무거울 수 있으나, 전시물이 눈높이에 배치되어 있어 아이들도 관람이 가능합니다.",1. 가족 2. 혼자 3. 친구 4. 연인,No,"전용 주차장이 마련되어 있으나, 주말 및 행사기간에는 붐빌 수 있어 이른 시간 방문을 추천합니다.",기념관;해병대;전시;역사;안보교육,
