Restaurant,Elderly_Score,Elderly_Notes,Disabled_Score,Disabled_Notes,Infant_Score,Infant_Notes,Price_Satisfaction_Score,Price_Satisfaction_Notes,Parking_Issue,Parking_Notes,Keywords
명촌식당,4,생선 양이 많고 부드러운 생선구이와 다양한 밑반찬으로 노인 식사에도 무난할 것으로 보입니다.,1,"휠체어 경사로·접근로에 대한 언급이 없으며, 전형적인 한식 소규모 식당 구조로 접근이 어려울 수 있습니다.",3,"유모차 진입이나 아동 의자 제공 언급은 없으나, 가벼운 생선구이와 반찬으로 영유아 동반 시에도 무난할 것으로 추정됩니다.",5,"‘가성비가 아주 좋은 곳입니다’, ‘가성비 최고’ 등의 긍정 평가가 다수 확인됩니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,생선구이;가성비;밑반찬;누룽지;푸짐
미주뚝배기,3,리뷰에 접근성 언급이 없어 내부 평탄도 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 마련 여부가 확인되지 않아 진입이 어려울 가능성이 있습니다.,3,유모차 진입로·아동 의자 제공 여부 언급이 없어 영유아 동반 시 편의시설이 부족할 수 있습니다.,4,"'가성비 좋다', '푸짐하다' 등의 긍정 평이 많습니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,뚝배기;된장찌개;해장;푸짐함;손맛
벅수다찌,4,점심특선 비빔밥과 전통나물비빔밥 등 부드럽고 자극적이지 않아 노인 방문에도 적합합니다.,2,휠체어 경사로·접근로 언급이 없어 좁은 다찌집 구조상 휠체어 진입이 어렵습니다.,3,"유모차 진입로나 아동 의자 제공 여부 언급이 없어 편의시설이 부족할 수 있으나, 다찌집 특성상 간단한 음식으로 영유아 동반에도 무난할 것으로 보입니다.",4,"‘다양한 해산물 경험’, ‘추천받아 방문’ 등의 긍정 평가가 있으며, 점심특선 가격 대비 만족도가 높은 편입니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용을 권장합니다.,다찌;비빔밥;해산물;전통;추천
울산다찌,3,해산물 중심의 다양한 다찌 요리와 깔끔한 인테리어로 어르신 식사에도 부담이 적은 편입니다.,1,"휠체어 경사로·진입로 언급이 없으며, 다찌집 특유의 좁은 테이블 구조로 휠체어 접근이 매우 어려울 수 있습니다.",3,"가족 단위 방문 후기가 다수 있으나, 유모차 진입로 및 아동 의자 제공 언급이 없어 영유아 동반 시 편의시설이 부족할 수 있습니다.",3,"‘인당 사만원은 비싸다’, ‘2인 9만원’ 등 가격 관련 부정 평가와 ‘스페셜한 경험’이라는 긍정 평가가 혼재하여 중간 수준으로 평가했습니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,블루리본;해산물;회맛집;다찌;고급
원조밀물식당,4,넓은 2층 좌석과 부드러운 멍게비빔밥으로 노인 식사에도 적합할 것으로 보입니다.,2,"휠체어 경사로·접근로 언급이 없으며, 골목 안 위치로 휠체어 진입이 어렵습니다.",4,멍게비빔밥ㆍ물메기탕 등 다양한 메뉴와 넓은 좌석으로 유아 동반에도 적합할 것으로 추정됩니다.,5,"‘최고의 멍게비빔밥’, ‘찐맛집’, ‘별미’ 등 높은 평가가 다수 있어 가격 대비 만족도가 매우 높습니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용을 권장합니다.,멍게비빔밥;물메기탕;제철음식;돌솥밥;별미
장방식당,4,담백한 집밥 느낌의 음식과 부드러운 생선구이로 어르신도 식사에 무리 없을 것으로 보입니다.,1,"휠체어 경사로·접근로 언급이 없으며, 전형적인 한식당 구조로 휠체어 진입이 어려울 수 있습니다.",4,"아이들도 좋아한다는 언급이 있으며, 가족 단위 방문 후기와 간단한 메뉴로 영유아 동반 시에도 무난할 것으로 추정됩니다.",4,"멍게비빔밥 13,000원에 제공되며 '과한 가격은 아니었음'이라는 언급으로 가격 대비 만족도가 높은 편입니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,생선구이;멍게비빔밥;담백;가족단위;추천
참나무장작구이통닭,4,바로 조리되어 담백하고 부드러운 통닭으로 어르신 식사에 적합합니다.,2,"휠체어 경사로·진입로 언급이 없으며, 전형적인 골목 식당 구조로 휠체어 접근이 어려울 수 있습니다.",3,"가족 단위 재방문 후기 다수 있으나, 유모차 진입로 및 아동 의자 제공 여부는 확인되지 않습니다.",5,‘가격도 저렴하고 맛있어서 재방문 각’ 등 가성비 좋다는 긍정 평가가 다수입니다.,No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용을 권장합니다.,장작구이;통닭;담백;크림통닭;가성비
터미널회식당,4,신선한 회정식과 깔끔한 음식으로 어르신도 무리 없이 즐길 수 있을 것으로 보입니다.,2,"휠체어 경사로·접근로 언급이 없으며, 골목 안 위치로 휠체어 진입이 어려울 수 있습니다.",3,"가족 단위 방문 후기가 있으며, 간단한 회정식과 물회로 아이와 함께 방문하기에도 무난할 것으로 추정됩니다.",4,"‘회정식 25,000원’, ‘멍게비빔밥 15,000원’ 등의 가격 정보와 함께 ‘가성비 좋다’는 평가가 다수입니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,회정식;멍게비빔밥;물회;신선;깔끔
토담실비,3,3만·4만원 코스 모두 부드러운 해산물 요리로 구성되어 있어 어르신도 충분히 즐길 수 있을 것으로 보입니다.,2,"휠체어 경사로·접근로 언급이 없으며, 다찌집 특유의 좁은 공간으로 휠체어 진입이 어려울 수 있습니다.",3,"다찌집 특성상 유모차 진입이나 아동 의자 제공 언급은 없으나, 부드러운 해산물 중심 메뉴로 유아와 함께 방문해도 무난할 것으로 추정됩니다.",4,"‘완전 대박’, ‘다시 오고 싶은 곳’ 등의 긍정 평가가 다수이며, 4만원 코스 가격 대비 만족도가 높은 편입니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,다찌;해산물;오마카세;샤벳멩게;코스요리
통영식당,4,깔끔하고 정갈한 반찬과 전통 메뉴로 어르신 식사에 적합합니다.,1,"휠체어 경사로·진입로 관련 언급이 없으며, 전형적 한식당 구조로 휠체어 진입이 어려울 수 있습니다.",3,"가족 단위 방문 후기가 있으며, 간단한 국물 및 반찬 메뉴로 영유아 동반 시에도 무난할 것으로 보입니다.",4,"리뷰에 가격 언급은 없으나, 평균 별점이 높고 '맛은 나쁘지 않았다', '정갈하다'는 긍정 평가가 다수입니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,도다리쑥국;멸치회;정갈;서호시장;통영맛집
플레이볼인통영,4,"리뷰에 접근성 언급은 없으나, 실내 환경이 쾌적하고 좌석도 안정적이어서 어르신도 무리 없이 이용할 수 있을 것으로 보입니다.",2,"휠체어 경사로·접근로 언급이 없어 진입이 어려울 가능성이 있으며, 펍 특성상 테이블 간 간격이 좁을 수 있습니다.",3,"가족 단위 방문 후기는 없으나, 간단한 안주와 맥주로 영유아 동반 시에도 이동이 어렵지 않을 것으로 추정됩니다.",5,"‘믿기 힘든 가격의 맥주집’, ‘최고입니다’ 등 가격 대비 만족도가 매우 높은 편입니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용을 권장합니다.,펍;맥주;안주;쾌적;가성비
한려곰장어,4,"자연산 생선매운탕과 부드러운 곰장어, 쥐치 매운탕 등으로 어르신 식사에 적합하며, 기본 반찬이 예쁘고 깔끔해 식사 환경이 좋습니다.",1,휠체어 경사로 및 접근로 관련 언급이 없어 해산물 전문식당 구조로 휠체어 진입이 어려울 수 있습니다.,3,국물 기반의 해산물 매운탕과 뽈락구이 메뉴로 영유아 동반 가족 방문에도 무난할 것으로 추정됩니다.,4,"‘최고의 꼼장어집’, ‘맛있다’는 긍정 평가가 다수이지만, 일부 ‘좀 짜다’는 언급이 있어 가격 대비 만족도는 높은 편입니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,곰장어;생선매운탕;뽈락;매운탕;반찬
한일김밥,4,무난한 충무김밥 구성과 편안한 좌석 배치로 노인 방문에도 큰 불편이 없을 것으로 보입니다.,1,휠체어 경사로·접근로 언급이 없어 좁은 골목 구조 상 휠체어 진입이 어렵습니다.,3,"가벼운 충무김밥 메뉴로 유모차 동선에 큰 무리가 없으나, 셀프 서비스 특성상 어린이 동반 시 주의가 필요할 수 있습니다.",4,"‘가격이 저렴하다’, ‘가성비 좋다’는 긍정 평가가 주류를 이루며, 일부 ‘양차이 불만’ 언급을 고려해 전반적으로 만족도가 높은 편입니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용을 권장합니다.,충무김밥;가성비;셀프서비스;무난;통영명물
해옥,4,"깔끔하고 따뜻한 분위기의 카페로 어르신도 편안히 이용할 수 있으며, 친절한 서비스가 돋보입니다.",1,계단이 가파르고 휠체어 접근로가 없어 휠체어 이용이 매우 어렵습니다.,1,노키즈존으로 유아 동반이 제한되어 있어 영유아 방문에 부적합합니다.,4,‘사바동정식’ 등 음식과 차에 대해 긍정 평가가 많으나 가격 언급은 적어 일반적 만족도로 평가합니다.,No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용을 권장합니다.,카페;차;분위기;친절;노키즈존
해원횟집,4,신선한 회와 깔끔한 서비스로 어르신도 무리 없이 즐길 수 있을 것으로 보입니다.,2,"휠체어 경사로·접근로 언급이 없으며, 횟집 특유의 단차 및 테이블 간 간격으로 휠체어 진입이 어려울 수 있습니다.",3,"가족 단위 방문 후기가 다수 있으며, 고급 모듬회 메뉴로 유아 동반 시에도 무난할 것으로 추정됩니다.",4,"‘스페셜 20만원’, ‘모듬회’ 가격대가 높지만, ‘맛있다’, ‘가끔 들른다’ 등 반복 방문 의사를 보이는 긍정 평가가 다수입니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용을 권장합니다.,모듬회;스페셜;신선;단골;회맛집
향남뚝배기,4,맛있는 굴전·부침개와 담백한 해물뚝배기로 노인 식사에도 무난합니다.,1,"휠체어 경사로·접근로 언급은 없으며, 전형적인 한식당 구조로 휠체어 진입이 어렵습니다.",3,멍게비빔밥·해물뚝배기 등의 메뉴로 유아 동반 시에도 큰 무리가 없을 것으로 보입니다.,4,"‘해물뚝배기와 멍개비빔밥 최고’, ‘절대 후회 안하는 맛집’ 등의 긍정 평가가 다수입니다.",No,주차는 복잡하지 않으나 별도 안내가 없어 인근 공영주차장 또는 유료 주차장 이용을 권장합니다.,굴전;부침개;해물뚝배기;멍개비빔밥;로컬
